"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","valid","Q5","Q50","Q95","MCSE_Q2.5","MCSE_Q25","MCSE_Q50","MCSE_Q75","MCSE_Q97.5","MCSE_SD","Bulk_ESS","Tail_ESS"
"theta_S0",0.056427633447439,0.000134778740733896,0.00405203890154312,0.0486796042164895,0.0536970943197105,0.0563525913692945,0.0591224529248878,0.0645245003169217,886,1.00315358180213,1,0.0497236485412067,0.0563525913692945,0.063303552368297,0.000234240622848048,0.000169710485671548,0.000138235198447856,0.00012676230558567,0.00029713654424901,0.0000953337315457442,899,1426
"theta_r",0.1374075928944,0.000208303294733642,0.00918578847738743,0.120010748597833,0.131020221814872,0.137366701898135,0.143571488189081,0.155260968363633,1928,1.00039318795974,1,0.122731514498215,0.137366701898135,0.152328501471287,0.000522698639915241,0.000278267578783756,0.000242623844007833,0.000252556976920601,0.000539517169460949,0.000147314769490396,1944,2546
"theta_SEX",-0.244342981685217,0.00389513512795891,0.113834824989243,-0.480403544097632,-0.317099317155163,-0.239072790626424,-0.165091042322824,-0.0412646096660653,829,1.00253138908397,1,-0.433585499364064,-0.239072790626424,-0.0698072532906614,0.0070239262839577,0.00494760809097905,0.00425643484734711,0.00468190719734217,0.00646762878579003,0.00275521757589318,862,1596
"theta_AGE",0.00518266942628169,0.000142231311464822,0.00722686927867356,-0.00890857388696433,0.00040153830103979,0.00524689195204205,0.0100136151605657,0.0192048547284495,2554,1.00136861197908,1,-0.0068377665041296,0.00524689195204205,0.0171562116204775,0.000378963496742001,0.000186819613123598,0.000176352873388152,0.0001837351409539,0.000376268975699014,0.000100584089063469,2583,2838
"theta_APOE4_b",0.508833122953103,0.00248483602753542,0.0637858315517367,0.384340944912711,0.466017161416841,0.508771644452293,0.552960006400752,0.63309520686865,623,1.00993519676563,1,0.403144732324003,0.508771644452293,0.610478670203423,0.00359881243098878,0.00252074917504033,0.00285525108975981,0.00249618730182904,0.00446472161396366,0.0017578227002938,659,1511
"theta_APOE4_r",0.419997995893824,0.00178324169491439,0.0781846836320034,0.267245857132346,0.36648929250008,0.418597854896673,0.47290836619924,0.572868498138786,1901,1.00176574485365,1,0.29189445668371,0.418597854896673,0.550141054271592,0.00347175725917534,0.00197963232847836,0.00216856751592215,0.00275922875241763,0.00385308360863806,0.00126244949583745,1921,2722
"theta_HV",-0.512665189554334,0.00210766448109572,0.0848473607671949,-0.685507394266896,-0.569537259712962,-0.510140048414,-0.452208721607502,-0.355917400511438,1587,1.00066952544777,1,-0.653111756718338,-0.510140048414,-0.380606301619637,0.00449414407588622,0.00281330032332228,0.00269140542878826,0.00235424732454417,0.00398816194676635,0.0014906121547364,1615,2292
"omega_pb",0.636884361821375,0.000529437941419751,0.0348810353582005,0.570767301780048,0.613078741758592,0.635986387719297,0.659820683650338,0.707614200981295,4268,1.00088317047709,1,0.580379131009551,0.635986387719297,0.695226641652798,0.00124397817721678,0.000716159820261131,0.000541389112766355,0.000871656454381309,0.00178012383317461,0.000374394317253448,4367,3502
"omega_pr",0.0743185141079938,0.000230994367383798,0.00681810644272767,0.0613881143461909,0.0695705668217178,0.0742348955449796,0.0789189200428492,0.0878968077747307,869,1.00166368142531,1,0.0634861888810489,0.0742348955449796,0.0855583278070422,0.000417715251020797,0.000251819966479945,0.00023055205531735,0.000289199657136474,0.000409305199065561,0.000163761030762581,877,1990
"tau",-0.646264009904044,0.000171652109026345,0.0101734374786082,-0.665646246744126,-0.653287400151651,-0.646343793591458,-0.639443808087447,-0.626491459168055,3459,1.00099565122663,1,-0.662795725998772,-0.646343793591458,-0.629610406690665,0.00052484021593846,0.000220657580120465,0.000186775910119008,0.000226669935642299,0.000298473061361548,0.000121467417559752,3499,3241
"beta",-0.430848253021784,0.00151232158406975,0.0644432311771196,-0.546712960870316,-0.474718977282354,-0.435569636279606,-0.39137783793778,-0.29343501083187,1720,0.99993375136696,1,-0.531196137098346,-0.435569636279606,-0.320350592574786,0.00211304391892853,0.0015796837609845,0.00152062786169441,0.00154252754592313,0.00404611971439464,0.00106954466527761,1812,2990
